record_id,latitude,longitude,fish,source,source_url,source_id,original_source_url,date,sector,confidence_class,reports_count,analysis_weight,duplicate_of,comment,depth,method,catch,nearest_landmark,landmark_distance_km,distance_from_novaya_ladoga_km,waterbody,context_reports_count
fishermap-3551,60.131645,31.609533,Густера; Красноперка; Плотва,FisherMap,https://ru.fishermap.org/location/3551/,3551,https://vk.com/wall-1707795_15138,2019-05-20,Шлиссельбург / бухта Петрокрепость,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,1.295,38.045,Ладожское озеро,
fishermap-5608,60.239054,32.136795,Густера; Окунь; Плотва,FisherMap,https://ru.fishermap.org/location/5608/,5608,https://vk.com/wall-78808262_92870,2019-03-17,о. Птинов,B,1,1,,"Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро. Предыдущий массив: Густера, окунь, плотва (FisherMap).",,,,о. Птинов,3.579,17.38,Ладожское озеро,
fishermap-5622,60.050132,31.407762,Плотва,FisherMap,https://ru.fishermap.org/location/5622/,5622,https://vk.com/wall-78808262_88179,2018-02-16,Кобона / южный берег,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,8.21,49.516,Ладожское озеро; бухта Петрокрепость,
fishermap-5625,60.150018,32.297909,Плотва,FisherMap,https://ru.fishermap.org/location/5625/,5625,https://vk.com/wall-78808262_88911,2018-03-17,Креницы / Волховская губа,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,2.373,5.154,Ладожское озеро,
fishermap-5636,60.140461,31.615558,Плотва,FisherMap,https://ru.fishermap.org/location/5636/,5636,https://vk.com/wall-78808262_82407,2017-05-04,Шлиссельбург / бухта Петрокрепость,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. целевая прибрежная зона; водоём в метаданных не указан.,,,,Шлиссельбург / бухта Петрокрепость,2.296,37.801,,
fishermap-6144,60.271413,31.949505,Судак,FisherMap,https://ru.fishermap.org/location/6144/,6144,https://vk.com/wall-1707795_1937,2014-06-02,Дубно,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Дубно,4.498,26.653,Ладожское озеро,
fishermap-6146,59.98731073,31.43875122,Окунь,FisherMap,https://ru.fishermap.org/location/6146/,6146,https://vk.com/wall-1707795_1758,2014-02-05,Кобона / южный берег,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,7.795,49.215,Ладожское озеро; бухта Петрокрепость,
fishermap-6148,59.910907,31.480048,Окунь,FisherMap,https://ru.fishermap.org/location/6148/,6148,https://vk.com/wall-1707795_1674,2014-01-12,Кобона / южный берег,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,13.803,50.065,Ладожское озеро; бухта Петрокрепость,
fishermap-6150,60.088915,32.304618,Судак,FisherMap,https://ru.fishermap.org/location/6150/,6150,https://vk.com/wall-1707795_2009,2014-07-02,Нижний Волхов,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Нижний Волхов,2.207,1.748,Волхов,
fishermap-6158,60.188431,32.222266,Щука,FisherMap,https://ru.fishermap.org/location/6158/,6158,https://vk.com/wall-1707795_15943,2019-09-07,Креницы / Волховская губа,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро. Предыдущий массив: Щука (FisherMap).,,,,Креницы / Волховская губа,3.788,10.223,Ладожское озеро,
fishermap-6160,60.302495,32.604719,Судак,FisherMap,https://ru.fishermap.org/location/6160/,6160,https://vk.com/wall-1707795_15424,2019-06-23,Вороново,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Вороново,1.853,27.989,Ладожское озеро,
fishermap-6162,60.120446,31.586564,Щука,FisherMap,https://ru.fishermap.org/location/6162/,6162,https://vk.com/wall-1707795_15173,2019-05-23,Шлиссельбург / бухта Петрокрепость,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,1.299,39.241,Ладожское озеро,
fishermap-6165,60.019048,31.441577,Рипус (Ряпушка),FisherMap,https://ru.fishermap.org/location/6165/,6165,https://vk.com/wall-1707795_14176,2019-02-24,Кобона / южный берег,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,6.145,48.231,Ладожское озеро; бухта Петрокрепость,
