lat,lon,kind,cls,prec,fish,date,season,sector,dist,zone,title,comment,depth,method,catch,src,url,orig,sid
60.274365,32.62844,fishing,B,100,Плотва,2019-04-30,,Вороново,26.5,core,"Ладога — 1,0 км на З от «Вороново»",Фото улова (плотва) из поста ВК; точка у впадения р. Воронежка в Ладогу; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/2485/,https://vk.com/wall-13425667_26064,2485
60.081226,32.323061,fishing,B,100,Окунь,2018-06-13,open_water,Нижний Волхов,3.0,core,"Волхов — 0,6 км на С от «Юшково»",Фото улова (окунь) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/2851/,https://vk.com/wall-52390696_2848,2851
59.964667,31.525056,fishing,B,100,Окунь,2018-02-18,ice,Кобона / южный берег,45.4,core,"Бухта Петрокрепость — 3,6 км на СЗ от «Лаврово»",Фото улова (окунь) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/2879/,https://vk.com/wall-52390696_187,2879
60.073141,32.332707,fishing,B,100,Жерех,2017-07-09,open_water,Нижний Волхов,4.0,core,"Волхов — 0,6 км на ЮВ от «Юшково»",Фото улова (жерех) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/2909/,https://vk.com/wall-62669564_10889,2909
60.131645,31.609533,fishing,B,100,Густера; Краснопёрка; Плотва,2019-05-20,open_water,Кобона / южный берег,38.0,core,"Новоладожский канал — 0,8 км на Ю от «Чёрное»","Фото улова (густера, краснопёрка, плотва) из поста ВК; точка на Новоладожском канале в ~0,1 км от уреза Ладоги, а не в самом озере; снасть и глубина не указаны.",,,,FisherMap,https://ru.fishermap.org/location/3551/,https://vk.com/wall-1707795_15138,3551
59.96152,31.15044,fishing,B,100,Елец; Окунь; Плотва,2019-08-21,open_water,Шлиссельбург / бухта Петрокрепость,65.5,ext,"Бухта Петрокрепость — 4,4 км на ЮВ от «мыс Кошкинский носок»","Фото улова (елец, окунь, плотва) из поста ВК; снасть и глубина не указаны.",,,,FisherMap,https://ru.fishermap.org/location/3964/,https://vk.com/wall-52321266_487626,3964
60.481557,32.876346,fishing,B,100,Щука,2019-08-20,open_water,Свирская губа / устье Свири,52.9,core,"Свирь — 2,0 км на З от «Птичий Остров»",Фото улова (щука) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/4872/,https://vk.com/wall-131916770_46603,4872
60.435379,32.767295,fishing,B,100,Карась,2019-06-30,open_water,Свирица / Загубская губа,45.2,core,"Ладожский канал — 0,4 км на С от «Загубье»","Фото улова (карась) из поста ВК; точка на канале у д. Загубье в ~0,6 км от Загубской губы, ~4,7 км от открытой Ладоги; снасть и глубина не указаны.",,,,FisherMap,https://ru.fishermap.org/location/5581/,https://vk.com/wall-78808262_93634,5581
60.469917,32.912004,fishing,B,100,Судак,2018-07-10,open_water,Свирская губа / устье Свири,53.1,core,Свирица — у «Свирица»,Фото улова (судак) из поста ВК; точка у протоки в пос. Свирица у впадения Паши; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/5597/,https://vk.com/wall-78808262_90638,5597
60.239054,32.136795,fishing,B,100,Густера; Окунь; Плотва,2019-03-17,ice,о. Птинов,17.4,core,"Ладога — 1,6 км на СВ от «мыс Княжой»","Фото улова (густера, окунь, плотва) из поста ВК; снасть и глубина не указаны.",,,,FisherMap,https://ru.fishermap.org/location/5608/,https://vk.com/wall-78808262_92870,5608
